,n,Relations,FCY Result
611,38,"[[17, 19]]","(True, 39)"
612,38,"[[18, 20]]","(True, 39)"
613,38,"[[19, 21]]","(True, 39)"
614,38,"[[20, 22]]","(True, 39)"
615,38,"[[21, 23]]","(True, 39)"
616,38,"[[22, 24]]","(True, 39)"
617,38,"[[23, 25]]","(True, 39)"
618,38,"[[24, 26]]","(True, 39)"
619,38,"[[25, 27]]","(True, 39)"
620,38,"[[26, 28]]","(True, 39)"
621,38,"[[27, 29]]","(True, 39)"
622,38,"[[28, 30]]","(True, 39)"
623,38,"[[29, 31]]","(True, 39)"
624,38,"[[30, 32]]","(True, 39)"
625,38,"[[31, 33]]","(True, 39)"
626,38,"[[32, 34]]","(True, 39)"
627,38,"[[33, 35]]","(True, 39)"
628,38,"[[34, 36]]","(True, 39)"
629,38,"[[35, 37]]","(True, 39)"
630,39,"[[1, 3]]","(True, 40)"
631,39,"[[2, 4]]","(True, 40)"
